iter	Passed	Remaining
0	211	211184
1	468	233803
2	682	226847
3	903	224963
4	1108	220644
5	1426	236269
6	1684	238940
7	1962	243364
8	2295	252775
9	2527	250222
10	2802	251956
11	3074	253168
12	3334	253149
13	3562	250909
14	3803	249785
15	4026	247632
16	4227	244426
17	4502	245636
18	4850	250446
19	5171	253423
20	5395	251556
21	5621	249900
22	5867	249232
23	6093	247783
24	6372	248539
25	6614	247783
26	6871	247626
27	7176	249110
28	7470	250122
29	7738	250226
30	7967	249034
31	8244	249394
32	8504	249211
33	8733	248123
34	9030	248982
35	9287	248711
36	9490	247010
37	9760	247097
38	9984	246017
3939	10833	260004040	11214	262313
41	11542	263268
42	11762	261789
43	12089	262666
44	12313	261314
45	12560	260499
46	12851	260588
47	13099	259813
48	13360	259295
49	13577	257967
50	13820	257177
51	14164	258228
52	14487	258860
53	14708	257675
54	14993	257609
55	15252	257112
56	15657	259036
57	16006	259965
58	16437	262168
59	16830	263676
60	17191	264634
61	17499	264752
62	17815	264966
63	18064	264187
64	18282	262985
65	18628	263623
66	18900	263201
67	19118	262037
68	19316	260636
69	19590	260272
70	19818	259311
71	20030	258174
72	20289	257652
73	20497	256498
74	20716	255497
75	20918	254324
76	21105	252988
77	21307	251864
78	21495	250594
79	21691	249452
80	21930	248814
81	22152	247996
82	22471	248267
83	22597	246417
84	22783	245255
85	22973	244163
86	23188	243347
87	23407	242588
88	23595	241522
89	23795	240601
90	23959	239336
91	24143	238284
92	24329	237276
93	24523	236369
94	24706	235366
95	24934	234800
96	25149	234124
97	25348	233307
98	25592	232919
99	25787	232091
100	26020	231608
101	26272	231297
102	26496	230747
103	26722	230226
104	26923	229493
105	27117	228705
106	27364	228375
107	27589	227869
108	27814	227362
109	28009	226619
110	28249	226253
111	28406	225226
112	28620	224661
113	28869	224374
114	29100	223946
115	29294	223240
116	29479	222480
117	29690	221923
118	29892	221306
119	30101	220740
120	30292	220060
121	30494	219462
122	30720	219040
123	30943	218603
124	31150	218052
125	31352	217475
126	31542	216821
127	31706	215999
128	31883	215275
129	32074	214655
130	32261	214009
131	32441	213328
132	32656	212883
133	32884	212523
134	33142	212359
135	33331	211749
136	33550	211341
137	33770	210943
138	33974	210444
139	34157	209825
140	34370	209394
141	34549	208755
142	34743	208216
143	34966	207856
144	35141	207210
145	35353	206795
146	35537	206212
147	35711	205582
148	35925	205185
149	36127	204721
150	36358	204423
151	36552	203925
152	36759	203497
153	36974	203120
154	37180	202695
155	37367	202169
156	37560	201679
157	37721	201022
158	37936	200658
159	38138	200229
160	38297	199577
161	38504	199178
162	38692	198686
163	38890	198244
164	39071	197725
165	39255	197225
166	39442	196739
167	39661	196417
168	39869	196045
169	40030	195442
170	40266	195207
171	40516	195044
172	40708	194599
173	40903	194175
174	41084	193682
175	41304	193378
176	41509	193007
177	41707	192605
178	41885	192113
179	42082	191708
180	42287	191342
181	42478	190919
182	42673	190516
183	42891	190215
184	43050	189654
185	43294	189473
186	43555	189361
187	43737	188908
188	43932	188514
189	44097	187995
190	44298	187629
191	44522	187365
192	44753	187131
193	44987	186906
194	45211	186640
195	45405	186253
196	45589	185828
197	45805	185535
198	46021	185241
199	46233	184935
200	46465	184705
201	46695	184470
202	46874	184035
203	47082	183714
204	47258	183270
205	47434	182830
206	47654	182560
207	47851	182205
208	48095	182026
209	48482	182385
210	48893	182829
211	49196	182862
212	49475	182802
213	50029	183752
214	50261	183512
215	50745	184188
216	51027	184122
217	51323	184104
218	51584	183962
219	51957	184213
220	52290	184317
221	52794	185020
222	53161	185231
223	53335	184768
224	53620	184691
225	53811	184291
226	54107	184250
227	54346	184015
228	54590	183795
229	54854	183644
230	55209	183793
231	55429	183489
232	55679	183288
233	55960	183186
234	56303	183286
235	56551	183072
236	56805	182881
237	57007	182519
238	57196	182118
239	57377	181695
240	57666	181614
241	58010	181702
242	58276	181544
243	58693	181853
244	58971	181727
245	59232	181549
246	59422	181154
247	59677	180956
248	59914	180706
249	60176	180528
250	60484	180490
251	60756	180340
252	60979	180045
253	61246	179882
254	61566	179870
255	61774	179532
256	62059	179415
257	62283	179125
258	62484	178768
259	62716	178501
260	62897	178089
261	63126	177814
262	63355	177540
263	63606	177327
264	63848	177089
265	64087	176843
266	64327	176598
267	64659	176606
268	64922	176425
269	65136	176108
270	65435	176022
271	65757	175999
272	65951	175629
273	66164	175311
274	66354	174935
275	66532	174528
276	66774	174287
277	66992	173986
278	67181	173613
279	67410	173340
280	67626	173036
281	67977	173076
282	68228	172860
283	68493	172681
284	68809	172627
285	69085	172472
286	69364	172323
287	69656	172207
288	69857	171863
289	70127	171691
290	70394	171511
291	70628	171249
292	70914	171115
293	71149	170856
294	71376	170576
295	71627	170358
296	71901	170192
297	72106	169861
298	72326	169567
299	72588	169373
300	72828	169126
301	73061	168863
302	73286	168582
303	73475	168220
304	73728	168004
305	73966	167754
306	74224	167549
307	74429	167224
308	74603	166831
309	74810	166512
310	74990	166136
311	75213	165856
312	75406	165508
313	75664	165304
314	75878	165004
315	76101	164725
316	76440	164695
317	76713	164524
318	77019	164420
319	77233	164120
320	77454	163836
321	77694	163592
322	77902	163281
323	78135	163023
324	78356	162740
325	78589	162482
326	78791	162160
327	79023	161901
328	79241	161613
329	79402	161211
330	79615	160914
331	79865	160693
332	80106	160453
333	80379	160277
334	80574	159947
335	80817	159710
336	81030	159415
337	81237	159110
338	81461	158837
339	81756	158703
340	82107	158677
341	82422	158578
342	82697	158403
343	82918	158122
344	83168	157898
345	83418	157675
346	83734	157574
347	84087	157542
348	84295	157238
349	84560	157040
350	84758	156718
351	84994	156467
352	85212	156182
353	85456	155945
354	85646	155611
355	85843	155289
356	86023	154938
357	86321	154799
358	86613	154649
359	86864	154426
360	87123	154215
361	87425	154081
362	87686	153874
363	88005	153767
364	88309	153633
365	88593	153465
366	88883	153306
367	89103	153024
368	89399	152875
369	89655	152655
370	89927	152464
371	90166	152216
372	90452	152047
373	90683	151786
374	90955	151592
375	91257	151449
376	91646	151447
377	91963	151326
378	92294	151226
379	92617	151112
380	92822	150805
381	93012	150475
382	93252	150227
383	93542	150057
384	93835	149893
385	94132	149733
386	94416	149553
387	94683	149346
388	95022	149252
389	95289	149041
390	95548	148821
391	95812	148607
392	96054	148359
393	96264	148061
394	96536	147859
395	96742	147556
396	97009	147347
397	97333	147223
398	97727	147202
399	97970	146955
400	98229	146732
401	98473	146485
402	98673	146173
403	98928	145943
404	99171	145695
405	99446	145495
406	99712	145281
407	99921	144983
408	100187	144769
409	100496	144616
410	100776	144422
411	100976	144111
412	101250	143908
413	101601	143812
414	101816	143523
415	102098	143330
416	102301	143026
417	102600	142854
418	102869	142643
419	103084	142355
420	103345	142130
421	103622	141928
422	103847	141654
423	104091	141407
424	104365	141200
425	1046426	104108426	1048427	104422427	1051428	104800428	1054429	105213	139468
430	105541	139333
431	105977	139340
432	106287	139180
433	106602	139025
434	106903	138851
435	107139	138592
436	107461	138445
437	107774	138285
438	108082	138118
439	108398	137962
440	108632	137699
441	108816	137374
442	109040	137100
443	109238	136794
444	109491	136557
445	109805	136395
446	110257	136403
447	110582	136253
448	110912	136108
449	111266	135992
450	111562	135804
451	112020	135812
452	112357	135672
453	112600	135418
454	112830	135148
455	113008	134816
456	113222	134529
457	113468	134278
458	113649	133953
459	113870	133673
460	114087	133391
461	114321	133127
462	114542	132849
463	114751	132557
464	114940	132243
465	115130	131930
466	115344	131645
467	115547	131348
468	115711	131008
469	115902	130698
470	116091	130386
471	116265	130059
472	116450	129745
473	116644	129440
474	116815	129111
475	116993	128791
476	117174	128474
477	117391	128197
478	117593	127904
479	117803	127620
480	117995	127316
481	118161	126986
482	118359	126691
483	118541	126378
484	118731	126075
485	118934	125786
486	119110	125469
487	119292	125159
488	119483	124859
489	119658	124542
490	119818	124211
491	120023	123926
492	120225	123639
493	120402	123327
494	120635	123073
495	120860	122809
496	121091	122553
497	121301	122276
498	121489	121976
499	121752	121752
500	121948	121461
501	122143	121169
502	122358	120898
503	122621	120674
504	122902	120468
505	123200	120278
506	123481	120071
507	123758	119860
508	124093	119705
509	124309	119435
510	124621	119256
511	124861	119008
512	125093	118753
513	125381	118550
514	125683	118362
515	126024	118208
516	126213	117913
517	126509	117717
518	126708	117430
519	126909	117147
520	127153	116902
521	127362	116626
522	127592	116370
523	127840	116129
524	128072	115875
525	128275	115594
526	128489	115323
527	128714	115062
528	128943	114806
529	129133	114514
530	129447	114333
531	129682	114081
532	129858	113778
533	130045	113485
534	130427	113361
535	130640	113092
536	130859	112826
537	131221	112684
538	131434	112414
539	131632	112131
540	131872	111884
541	132055	111589
542	132229	111287
543	132435	111012
544	132712	110796
545	132948	110547
546	133154	110272
547	133402	110032
548	133674	109812
549	134162	109769
550	134547	109640
551	134859	109450
552	135168	109258
553	135473	109063
554	135729	108828
555	135984	108591
556	136219	108339
557	136441	108077
558	136669	107820
559	136876	107545
560	137065	107258
561	137295	107002
562	137558	106772
563	137761	106496
564	137948	106207
565	138120	105908
566	138308	105622
567	138553	105379
568	138757	105104
569	138978	104843
570	139172	104562
571	139338	104260
572	139558	103998
573	139751	103718
574	139981	103464
575	140168	103179
576	140469	102978
577	140723	102742
578	141015	102534
579	141269	102298
580	141616	102129
581	141825	101861
582	142102	101640
583	142321	101379
584	142602	101162
585	142819	100899
586	143082	100669
587	143296	100404
588	143545	100164
589	143745	99890
590	143927	99604
591	144151	99347
592	144416	99118
593	144681	98890
594	144915	98639
595	145158	98396
596	145365	98127
597	145601	97879
598	145803	97608
599	145952	97301
600	146136	97019
601	146341	96750
602	146530	96471
603	146700	96181
604	146890	95903
605	147073	95621
606	147250	95336
607	147463	95074
608	147633	94785
609	147814	94504
610	148028	94244
611	148243	93984
612	148474	93735
613	148642	93446
614	148847	93181
615	149098	92944
616	149278	92664
617	149490	92403
618	149680	92129
619	149869	91855
620	150087	91599
621	150334	91360
622	150544	91100
623	150716	90816
624	150933	90560
625	151146	90301
626	151402	90068
627	151674	89845
628	151881	89583
629	152120	89340
630	152310	89069
631	152594	88852
632	152880	88636
633	153135	88402
634	153383	88165
635	153702	87968
636	154019	87769
637	154211	87499
638	154532	87302
639	154771	87059
640	154994	86806
641	155218	86554
642	155493	86331
643	155722	86082
644	155974	85846
645	156209	85600
646	156399	85330
647	156603	85068
648	156816	84811
649	157058	84570
650	157286	84321
651	157510	84070
652	157704	83803
653	157913	83544
654	158172	83312
655	158405	83066
656	158609	82805
657	158825	82550
658	159018	82284
659	159201	82012
660	159395	81747
661	159587	81481
662	159778	81214
663	159983	80955
664	160190	80697
665	160398	80439
666	160580	80169
667	160774	79905
668	160989	79652
669	161187	79390
670	161357	79115
671	161530	78842
672	161733	78583
673	161942	78328
674	162171	78082
675	162359	77817
676	162593	77574
677	162805	77320
678	163044	77079
679	163211	76805
680	163413	76547
681	163651	76306
682	163844	76044
683	164048	75788
684	164281	75545
685	164536	75312
686	164799	75083
687	165019	74834
688	165225	74579
689	165427	74322
690	165651	74075
691	165854	73819
692	166045	73558
693	166238	73298
694	166474	73057
695	166747	72832
696	166928	72567
697	167082	72290
698	167275	72031
699	167487	71780
700	167709	71533
701	167939	71290
702	168184	71053
703	168410	70809
704	168640	70565
705	168917	70342
706	169437	70219
707	169783	70023
708	170070	69803
709	170313	69564
710	170561	69328
711	170862	69112
712	171127	68882
713	171451	68676
714	171728	68451
715	171976	68213
716	172278	67998
717	172529	67762
718	172787	67528
719	173020	67285
720	173191	67018
721	173477	66795
722	173762	66572
723	174048	66349
724	174344	66130
725	174611	65900
726	174852	65660
727	175061	65407
728	175270	65155
729	175480	64903
730	175688	64651
731	175863	64387
732	176170	64171
733	176395	63925
734	176674	63698
735	176940	63467
736	177220	63241
737	177482	63008
738	177727	62769
739	178042	62555
740	178265	62308
741	178557	62085
742	178775	61837
743	179057	61611
744	179287	61366
745	179517	61122
746	179737	60874
747	179940	60621
748	180223	60395
749	180477	60159
750	180697	59911
751	180908	59661
752	181151	59421
753	181343	59165
754	181626	58938
755	181877	58701
756	182221	58493
757	182489	58261
758	182705	58013
759	182915	57762
760	183109	57507
761	183299	57251
762	183597	57028
763	184006	56839
764	184286	56610
765	184494	56359
766	184740	56120
767	184993	55883
768	185168	55622
769	185500	55409
770	185787	55181
771	186001	54933
772	186215	54684
773	186449	54441
774	186677	54196
775	186911	53953
776	187154	53713
777	187465	53492
778	187756	53265
779	188067	53044
780	188350	52815
781	188555	52564
782	188795	52322
783	189020	52077
784	189286	51842
785	189537	51604
786	189765	51359
787	190078	51137
788	190275	50884
789	190432	50621
790	190655	50375
791	190876	50129
792	191067	49875
793	191422	49663
794	191670	49424
795	191855	49169
796	192089	48926
797	192301	48677
798	192512	48429
799	192760	48190
800	193012	47951
801	193227	47704
802	193423	47452
803	193730	47227
804	193977	46988
805	194190	46740
806	194388	46489
807	194662	46256
808	194925	46020
809	195163	45779
810	195357	45527
811	195633	45294
812	195863	45051
813	196115	44812
814	196350	44570
815	196615	44334
816	196916	44107
817	197165	43868
818	197405	43626
819	197714	43400
820	198013	43172
821	198359	42953
822	198596	42711
823	198907	42485
824	199131	42240
825	199341	41992
826	199584	41751
827	199790	41502
828	200018	41258
829	200290	41023
830	200527	40781
831	200741	40534
832	200909	40278
833	201129	40032
834	201349	39787
835	201735	39574
836	201996	39337
837	202161	39081
838	202405	38840
839	202737	38616
840	202942	38368
841	203137	38118
842	203323	37866
843	203543	37621
844	203843	37391
845	204094	37151
846	204235	36892
847	204422	36641
848	204663	36400
849	204971	36171
850	205267	35939
851	205554	35706
852	205784	35463
853	205980	35214
854	206201	34969
855	206414	34723
856	206641	34480
857	206870	34237
858	207090	33992
859	207402	33763
860	207634	33520
861	207916	33285
862	208275	33063
863	208521	32822
864	208996	32617
865	209449	32409
866	209785	32181
867	210089	31949
868	210307	31703
869	210609	31470
870	210909	31236
871	211135	30992
872	211421	30756
873	211643	30511
874	211948	30278
875	212324	30055
876	212591	29816
877	212886	29581
878	213127	29338
879	213337	29091
880	213556	28845
881	213734	28594
882	214098	28368
883	214435	28138
884	214690	27897
885	215020	27666
886	215234	27419
887	215441	27172
888	215681	26929
889	216068	26705
890	216315	26462
891	216541	26218
892	216844	25982
893	217239	25757
894	217562	25524
895	217735	25272
896	217970	25028
897	218208	24785
898	218485	24546
899	218762	24306
900	219001	24063
901	219167	23811
902	219370	23564
903	219624	23322
904	219874	23080
905	220121	22838
906	220397	22598
907	220685	22360
908	221053	22129
909	221479	21904
910	221787	21667
911	221998	21420
912	222213	21174
913	222475	20933
914	222715	20689
915	222908	20441
916	223123	20195
917	223377	19953
918	223595	19707
919	223902	19469
920	224128	19224
921	224349	18979
922	224515	18729
923	224684	18480
924	224829	18229
925	224952	17976
926	225080	17724
927	225206	17472
928	225326	17220
929	225484	16971
930	225633	16722
931	225771	16472
932	225920	16223
933	226047	15973
934	226184	15724
935	226350	15476
936	226542	15231
937	226758	14988
938	226900	14740
939	227012	14490
940	227117	14240
941	227231	13990
942	227352	13742
943	227462	13493
944	227581	13245
945	227720	12998
946	227865	12752
947	228002	12506
948	228148	12260
949	228309	12016
950	228479	11772
951	228630	11527
952	228786	11283
953	228923	11038
954	229036	10792
955	229202	10549
956	229336	10304
957	229458	10059
958	229623	9817
959	229797	9574
960	229989	9333
961	230165	9091
962	230324	8849
963	230473	8606
964	230641	8365
965	230826	8124
966	231000	7883
967	231143	7641
968	231297	7399
969	231502	7159
970	231645	6918
971	231801	6677
972	231945	6436
973	232087	6195
974	232226	5954
975	232375	5714
976	232531	5474
977	232662	5233
978	232803	4993
979	232963	4754
980	233110	4514
981	233252	4275
982	233401	4036
983	233591	3798
984	233784	3560
985	233955	3321
986	234114	3083
987	234284	2845
988	234459	2607
989	234614	2369
990	234773	2132
991	234921	1894
992	235068	1657
993	235190	1419
994	235298	1182
995	235463	945
996	235563	708
997	235707	472
998	235820	236
999	235948	0
83	0
